scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
shg-frog,6,unmasked,0.0,False,True,0.018727662284959024,0.17180118557329033,0.020703045189041758,0.0,0.0,0.0
shg-frog,6,unmasked,0.0,True,False,0.0033148957519183123,0.07189442492255109,0.0045111082047767205,0.0,0.0,0.0
shg-frog,6,unmasked,0.0,True,True,0.00725432504994003,0.23440498040518534,0.009984632651269055,0.0,0.0,0.0
shg-frog,6,peak_energy,0.01,False,False,0.020161401593441604,1.0262265119842267,0.030213638163607816,0.012483851070002865,0.9587204679825911,0.021522319430130214
shg-frog,6,peak_energy,0.01,False,True,0.021016866446123692,0.9542013642451163,0.029251124308248114,0.002289204161164668,0.782400178671826,0.008548079119206357
shg-frog,6,peak_energy,0.05,False,False,0.017952994580429774,0.9018906798539094,0.026747046995598878,0.010275444056991035,0.8343846358522738,0.018055728262121276
shg-frog,6,peak_energy,0.05,False,True,0.01759925477628571,0.8239487565164723,0.025740942761574834,-0.0011284075086733132,0.6521475709431819,0.005037897572533076
shg-frog,6,peak_energy,0.1,False,False,0.00319026375883121,0.11383423610694253,0.004619637935865829,-0.004487286764607528,0.04632819210530702,-0.004071680797611773
shg-frog,6,peak_energy,0.1,False,True,0.0043274006024748655,0.24855568330926434,0.006200082436076145,-0.014400261682484159,0.07675449773597401,-0.014502962752965613
shg-frog,7,unmasked,0.0,False,False,0.007808882182815576,0.0853718222110251,0.008892798511330756,0.0,0.0,0.0
shg-frog,7,unmasked,0.0,False,True,0.016826011469795933,0.17737003350264213,0.018840037606855486,0.0,0.0,0.0
shg-frog,7,unmasked,0.0,True,False,0.009500127727004922,0.6415153155254695,0.01724689645845233,0.0,0.0,0.0
shg-frog,7,unmasked,0.0,True,True,0.011086513839668105,0.7704885829240491,0.019678673741736825,0.0,0.0,0.0
shg-frog,7,peak_energy,0.01,False,False,0.016452037732921365,0.9888917758922954,0.026410229775857254,0.00864315555010579,0.9035199536812702,0.017517431264526498
shg-frog,7,peak_energy,0.01,False,True,0.01754929296165445,1.154741398381872,0.03070151115974445,0.0007232814918585184,0.9773713648792298,0.011861473552888965
shg-frog,7,peak_energy,0.05,False,False,0.0036921502110399745,0.3062619745252122,0.0075672398550398565,-0.004116731971775601,0.2208901523141871,-0.0013255586562908993
shg-frog,7,peak_energy,0.05,False,True,0.007612701713608781,0.4108283503468416,0.012643720723438542,-0.009213309756187152,0.2334583168441995,-0.006196316883416944
shg-frog,7,peak_energy,0.1,False,False,0.002130738225539097,0.08418949751055346,0.003399844534708593,-0.005678143957276479,-0.0011823247004716375,-0.005492953976622163
shg-frog,7,peak_energy,0.1,False,True,0.0029656118345305574,0.1404903750446409,0.0046146061245893,-0.013860399635265376,-0.03687965845800123,-0.014225431482266186
shg-frog,8,unmasked,0.0,False,False,0.007290579831259421,0.08630610842901228,0.008584675176856241,0.0,0.0,0.0
shg-frog,8,unmasked,0.0,False,True,0.018660268283180577,0.21161486217593312,0.0208761779555329,0.0,0.0,0.0
shg-frog,8,unmasked,0.0,True,False,0.003179462791026006,0.08015414524559034,0.004508772106978756,0.0,0.0,0.0
shg-frog,8,unmasked,0.0,True,True,0.006244653951423769,0.17459876883418396,0.008604128908677141,0.0,0.0,0.0
shg-frog,8,peak_energy,0.01,False,False,0.011956470934891241,1.0404190603594465,0.01545269358945183,0.00466589110363182,0.9541129519304342,0.006868018412595588
shg-frog,8,peak_energy,0.01,False,True,0.010924144906477057,1.0503565144835523,0.019947132060115058,-0.00773612337670352,0.8387416523076192,-0.0009290458954178404
shg-frog,8,peak_energy,0.05,False,False,0.0033879021888076253,0.18996242871336755,0.005326603906817476,-0.0039026776424517956,0.10365632028435527,-0.003258071270038765
shg-frog,8,peak_energy,0.05,False,True,0.005026485909741996,0.5565364476376883,0.010866854705357308,-0.013633782373438581,0.34492158546175516,-0.01000932325017559
shg-frog,8,peak_energy,0.1,False,False,0.0016200897848391439,0.07253471542921205,0.002749475342402401,-0.005670490046420277,-0.013771392999800222,-0.00583519983445384
shg-frog,8,peak_energy,0.1,False,True,0.0028665017659636398,0.08329531990170597,0.004636307272966298,-0.015793766517216937,-0.12831954227422715,-0.0162398706825666
